Eng,Ja
surprise, 驚き
because, なぜなら
brother, 兄
history, 歴史
flat, フラット
business, シゴト
brown, 茶色い
new, 新しい
bird, 鳥
box, 箱
same, 同じ
train, 列車
circle, 一回り
needle, はり
rough, 荒い
lip, くちびる
event, できごと
run, 走る
also, もまた
simple, シンプルな
amusement, 楽しみ
smooth, なめらかな
comb, クシ
increase, 増やす
at, ～に
thing, モノ
enough, 十分
secret, 秘密の
girl, 令嬢
against, 反抗して
much, ほぼ
early, 早い
trouble, 故障
material, 実質的
of, ～の
fight, ファイト
far, はるかに
teaching, 教え
rat, ネズミ
arm, 武装
under, ～の下に
tail, 尻尾
daughter, 娘
sun, 太陽
flame, 火炎
scale, 目盛り
light, 明るい
regular, 普通の
burn, 燃す
wise, かしこい才
