Eng,Ja
milk, 牛乳
crack, ひびわれる
discovery, 発見
arch, カーブ
mountain, 山
bite, かみつく
light, 明るい
slow, 遅い
deep, 深い
hat, 帽子
market, 市場
chief, 主要な
ice, 氷
round, まるい
place, 場所
false, 間違った
sun, 太陽
list, 挙げる
pain, 痛み
shake, 振る
whistle, 口笛
stop, ストップ
wax, ロウ
automatic, 自動的な
equal, 等しい
clock, 計時
company, 付添い
solid, 固体の
small, 小さい
memory, 記憶
garden, 庭いじりをする
till, ～まで
shade, 影
flower, 花を咲かす
wing, つばさ
yellow, 黄色い
potato, ジャガイモ
probable, ありそうな
bone, 骨
morning, 朝
argument, 議論
existence, 存在
machine, 機械
limit, 制約
flat, フラット
grip, 取っ手
roll, 転がる
bag, ふくろ
daughter, 娘
vessel, 容器
