Eng,Ja
mobile, モバイル
control, 制御する
manager, 管理職
yes, 肯定的な返答
grass, 芝生
also, もまた
account, 説明
pain, 痛み
servant, 使用人
square, 四角
well, よく
information, 情報
send, 送る
thought, 思索
level, 水平になる
say, 言う
quiet, 静かな
bad, ひどい
danger, リスク
noise, 騒ぐ
watch, 時計
start, 開始
other, ほかの
advertisement, アド
prison, 牢屋
stage, 区間
farm, 農場
will, するつもりだ
quality, 品質
crack, ひびわれる
representative, 代表する
year, 年
rail, 横木
take, 取る
number, 数
false, 間違った
hammer, ハンマー
leaf, 葉っぱ
president, 大統領
almost, ほぼ
enough, 十分
black, 黒い
clear, 明るい
mixed, まざった
self, 自分
smile, ほほ笑む
conscious, 気づいて
leg, 脚
plant, 植物
laugh, 笑う
