Eng,Ja
financial, 財務上の
at, ～に
line, 線
chest, むね
window, ウィンドウ
wood, 樹木
scissors, はさみ
water, 水
cotton, 綿
enough, 十分
hard, 必死に
person, 個人
smash, 打ち付ける
second, 第2に
father, 父親
laugh, 笑う
space, スペース
interest, 気晴らし
public, パブリック
chief, 主要な
from, ～から
road, 道筋
gun, 銃
shelf, 棚
collar, エリ
equal, 等しい
work, 労働
edge, 刃
shade, 影
hat, 帽子
star, 星
observation, 観測
up, 上方へ
plant, 植物
hospital, 病院
vessel, 容器
porter, 運搬人
minute, 分
paper, 紙
cord, ひも
reaction, 反応
tooth, 歯
brake, 歯止め
before, 先に
language, 言語
have, 持っている
stiff, こわばった
ready, 準備のできた
play, 遊ぶ
news, ニュース
