Eng,Ja
view, 視野
comparison, 比較
mobile, モバイル
waste, 浪費する
comfort, 快適
man, 人間
near, ほぼ
milk, 牛乳
coat, コート
bird, 鳥
loose, なまけた
sun, 太陽
new, 新しい
slip, すべる
design, 計画
opinion, 意見
monkey, さる
smooth, なめらかな
nose, 鼻
smash, 打ち付ける
event, できごと
board, 板
low, 低い
cotton, 綿
hanging, つりさげ
fixed, 固定した
meeting, 集まり
from, ～から
tired, 疲れた
war, 戦争
education, 教育
normal, 正常な
guide, 案内する
bone, 骨
beautiful, 美しい
jelly, ゼリー化する
curve, 曲がる
plane, 平ら
paint, 色つけ
moon, 月
punishment, 処罰
drink, 飲む
news, ニュース
at, ～に
lead, 導く
ink, インク
stiff, こわばった
necessary, 必然的
current, 流れ
knee, ひざ
