Eng,Ja
till, ～まで
and, ～と
sneeze, くしゃみをする
lift, 持ち上げる
cart, カート
ring, 鳴り響く
curtain, カーテン
boy, 男の子
hand, 手
substance, 物質
international, 国際的な
family, 家族
body, 本体
stick, ステッキ
harmony, 調和
come, 訪れる
company, 付添い
sticky, 粘っこい
great, 偉大な
steam, 蒸す
flower, 花を咲かす
view, 視野
page, ページ
space, スペース
shelf, 棚
bent, まがった
simple, シンプルな
distance, 引き離す
man, 人間
far, はるかに
again, さらに
bottle, ビン
little, わずか
town, 町
rod, 棒
art, 芸術
ill, 不完全な
iron, 鉄
humor, ユーモア
needle, はり
bone, 骨
act, 行動する
existence, 存在
burst, 爆発
look, 見える
trousers, ズボン
stamp, スタンプ
boiling, 煮えた
up, 上方へ
decision, 判断
