Eng,Ja
pencil, 鉛筆
effect, 結果
daughter, 娘
interest, 気晴らし
prose, 散文
cough, せき
stocking, ストッキング
yes, 肯定的な返答
force, 勢い
suggestion, 提案
send, 送る
servant, 使用人
clear, 明るい
last, 臨終の
size, サイズ
stomach, 胃
experience, 経験
father, 父親
blade, 刃物
iron, 鉄
old, 古い
fight, ファイト
spade, スペード
self, 自分
comb, クシ
rail, 横木
good, 良い
answer, 答える
some, いくつかの
blow, 吹く
prison, 牢屋
please, 喜ばせる
watch, 時計
company, 付添い
for, ～のために
back, 以前に
square, 四角
island, 島
writing, 作文
order, 配列
manager, 管理職
sail, 帆
boy, 男の子
have, 持っている
ice, 氷
heat, 暖める
thing, モノ
camera, カメラ
free, 自由な
door, 扉
