Eng,Ja
tongue, 舌
economic, 経済
near, ほぼ
color, 色合い
exchange, 取り替える
sex, 性別
danger, リスク
neck, 首
boy, 男の子
cord, ひも
ticket, チケット
measure, 計測する
number, 数
rat, ネズミ
complex, 複雑な
day, 昼間
turn, 回転させる
dress, 衣服
wool, 羊毛
different, 変わった
tail, 尻尾
chance, 賭け
drink, 飲む
mouth, 口
slope, 傾ける
point, 点
special, 特別の
south, 南
almost, ほぼ
death, 絶命
arm, 武装
strange, 奇妙な
taste, 味覚
animal, 動物
dark, 暗い
heat, 暖める
flight, 飛行
news, ニュース
regular, 普通の
tendency, 傾向
insect, 虫
quiet, 静かな
stocking, ストッキング
here, ここに
glass, ガラス
cart, カート
play, 遊ぶ
wood, 樹木
back, 以前に
oil, オイル
