Eng,Ja
wax, ロウ
purpose, 目的
cover, おおう
tin, スズ
farm, 農場
wing, つばさ
enough, 十分
information, 情報
town, 町
financial, 財務上の
trousers, ズボン
trade, 交換
ring, 鳴り響く
dog, 犬
hook, 鉤
lift, 持ち上げる
middle, 中位
property, 所有物
say, 言う
sudden, 急激
boy, 男の子
data, データ
cup, コップ
reaction, 反応
secretary, 事務官
left, 左の
while, 期間
woman, 女性
cold, 冷たい
pocket, 懐中
place, 場所
flower, 花を咲かす
answer, 答える
almost, ほぼ
experience, 経験
distribution, 配布
hair, 毛
oil, オイル
screw, ねじる
late, 遅れた
part, ある程度
language, 言語
flame, 火炎
cotton, 綿
new, 新しい
come, 訪れる
thing, モノ
tongue, 舌
general, 世間一般の
run, 走る
