Eng,Ja
yes, 肯定的な返答
rain, 雨が降る
cough, せき
servant, 使用人
division, 分割
secretary, 事務官
while, 期間
international, 国際的な
request, 要求
any, なんらか
beautiful, 美しい
needle, はり
bottle, ビン
metal, メタリック
development, 発展
fish, 魚
ship, 船
over, 上の方に
tight, 窮屈な
meat, 肉
sort, 分類する
mother, 母親
seed, たね
room, 部屋
green, 緑色の
thunder, 雷
increase, 増やす
dark, 暗い
screw, ねじる
mass, 大きな塊
even, 均等な
knot, 結ぶ
cow, 牛
woman, 女性
comfort, 快適
control, 制御する
prison, 牢屋
early, 早い
scale, 目盛り
advertisement, アド
invention, 考案
unit, 単一体
violent, 暴力的
machine, 機械
change, 変質
burn, 燃す
cushion, クッション
journey, 旅行
care, 整備
give, あたえる
