Eng,Ja
market, 市場
committee, コミッティ
transport, 運輸
protest, 断言する
but, しかし
sheep, ヒツジ
also, もまた
hollow, 空っぽな
watch, 時計
how, 方法
far, はるかに
snow, 雪が降る
board, 板
high, 高い
normal, 正常な
person, 個人
black, 黒い
dog, 犬
as, 同じように
tired, 疲れた
pocket, 懐中
work, 労働
international, 国際的な
mixed, まざった
breath, 呼吸
word, 言葉
science, 科学
ray, 光線
driving, 運転
hammer, ハンマー
hair, 毛
over, 上の方に
prison, 牢屋
position, 場所
bite, かみつく
harbor, 港
exchange, 取り替える
insect, 虫
addition, 付け足し
plate, 平皿
stamp, スタンプ
awake, 覚めた
horn, 角
coat, コート
blood, 血液
will, するつもりだ
square, 四角
existence, 存在
acid, すっぱい
chain, くさり
