Eng,Ja
relation, 結付き
owner, 持主
horse, 馬
weather, 天気
branch, 枝
no, いいえ
dog, 犬
feeling, 感じ
shame, 恥
property, 所有物
bed, ベッド
bite, かみつく
leg, 脚
knife, ナイフ
army, 軍団
test, テスト
throat, のど
gold, 黄金
rate, 割合
science, 科学
organization, 設立
equal, 等しい
fire, 焼く
take, 取る
wind, 風
suggestion, 提案
drain, 排水路
pot, つぼ
decision, 判断
selection, 選択
question, 問いただす
any, なんらか
prison, 牢屋
size, サイズ
plane, 平ら
boat, 小船
crack, ひびわれる
sense, 感覚
straight, まっすぐな
about, ～について
pleasure, 喜び
friend, 友達
wool, 羊毛
guide, 案内する
front, 正面
steam, 蒸す
short, 短い
complete, 完全な
in, 中に
middle, 中位
