Eng,Ja
thing, モノ
spring, 春
elastic, 弾力のある
week, 週
part, ある程度
left, 左の
science, 科学
crush, 壊れる
help, 助ける
stamp, スタンプ
smell, においがする
iron, 鉄
idea, 着想
profit, 得する
driving, 運転
flag, 旗
bee, 蜂
steam, 蒸す
button, ボタン
power, 力
love, 愛情
advertisement, アド
at, ～に
push, 押す
sad, 残念な
prison, 牢屋
laugh, 笑う
dress, 衣服
observation, 観測
net, ネット
fowl, 家禽
dirty, 汚れた
sharp, するどい
arch, カーブ
foot, 足
shame, 恥
about, ～について
payment, 入金
blue, 青い
insect, 虫
send, 送る
copy, コピー
attack, 攻める
jelly, ゼリー化する
cord, ひも
clear, 明るい
simple, シンプルな
nose, 鼻
basin, 洗面器
slip, すべる
