Eng,Ja
way, 道
theory, 理論
acid, すっぱい
fat, 太った
violent, 暴力的
flight, 飛行
base, 基礎づける
past, 通り越して
authority, 権威
attempt, 試みる
book, 本
touch, タッチ
answer, 答える
peace, 和平
warm, 暖める
market, 市場
thunder, 雷
spade, スペード
representative, 代表する
rough, 荒い
sign, 記号
special, 特別の
grain, 穀物
question, 問いただす
horse, 馬
board, 板
beautiful, 美しい
comfort, 快適
brick, ブロック
long, 長い
physical, 物理的
statement, 述べる
mark, 目印
office, オフィス
rice, おコメ
married, 結婚している
approval, 賛成
collar, エリ
bed, ベッド
give, あたえる
carriage, 乗り物
will, するつもりだ
mouth, 口
off, ～から離れて
lip, くちびる
print, 印刷
selection, 選択
also, もまた
tight, 窮屈な
under, ～の下に
