Eng,Ja
sneeze, くしゃみをする
disgust, 吐き気を催させる
wide, 幅広い
friend, 友達
meal, 食事
attack, 攻める
information, 情報
garden, 庭いじりをする
record, レコード
chief, 主要な
music, ミュージック
make, 作る
very, とても
poison, 毒
over, 上の方に
key, 鍵
credit, 信用
money, 硬貨
art, 芸術
thing, モノ
shirt, シャツ
violent, 暴力的
milk, 牛乳
where, 場所
taste, 味覚
elastic, 弾力のある
amount, 量
thumb, おやゆび
egg, 卵
tooth, 歯
science, 科学
move, 動く
bent, まがった
push, 押す
after, ～の後に
narrow, せまい
test, テスト
story, 物語
place, 場所
owner, 持主
false, 間違った
in, 中に
wind, 風
country, 国家
then, それから
match, 試合
sense, 感覚
different, 変わった
out, 外に
hate, うらむ
