Eng,Ja
earth, 地球
bite, かみつく
clean, きれいな
shirt, シャツ
land, 土地
station, 駅
debt, 負債
thin, 痩せた
mass, 大きな塊
bulb, 球状のもの
boiling, 煮えた
almost, ほぼ
cushion, クッション
fowl, 家禽
industry, 産業
seat, 着席させる
dirty, 汚れた
reward, 報いる
minute, 分
amusement, 楽しみ
rule, ルール
narrow, せまい
under, ～の下に
key, 鍵
start, 開始
crush, 壊れる
trade, 交換
talk, 話す
full, いっぱいの
wrong, 不正確な
poor, 貧乏な
grass, 芝生
may, してもいい
mark, 目印
stitch, ぬい合わせる
give, あたえる
hour, 時間
competition, 競争
any, なんらか
nail, つめ
through, から
first, 最初に
brown, 茶色い
blood, 血液
touch, タッチ
trick, いたずら
work, 労働
authority, 権威
substance, 物質
property, 所有物
