Eng,Ja
beautiful, 美しい
cloud, 雲
snow, 雪が降る
female, 牝
care, 整備
paste, 貼りつける
reading, 読み取り
verse, 詩節
memory, 記憶
rough, 荒い
sticky, 粘っこい
tight, 窮屈な
impulse, 衝動
tail, 尻尾
animal, 動物
same, 同じ
chief, 主要な
belief, 印象
adjustment, 手直し
level, 水平になる
comparison, 比較
stone, 石
church, 教会
sweet, 優しい
disgust, 吐き気を催させる
sea, 海
ray, 光線
stem, 茎
box, 箱
there, そこに
umbrella, かさ
crush, 壊れる
structure, 構造
picture, 絵
act, 行動する
disease, 不快な状態
whip, むち打ち
fork, フォーク
against, 反抗して
sun, 太陽
bit, かけら
sort, 分類する
music, ミュージック
note, 記録
exchange, 取り替える
night, 夜
give, あたえる
feeling, 感じ
hard, 必死に
able, 可能な
