Eng,Ja
strange, 奇妙な
already, すでに
hook, 鉤
secretary, 事務官
sponge, スポンジ
tree, 木
design, 計画
able, 可能な
trick, いたずら
first, 最初に
argument, 議論
door, 扉
cake, ケーキ
end, 終える
true, 正確な
talk, 話す
teaching, 教え
bitter, 苦い
possible, ありうる
turn, 回転させる
please, 喜ばせる
religion, 信仰
peace, 和平
roof, 屋根
hair, 毛
serious, まじめな
stone, 石
love, 愛情
value, 価値
ear, 耳
get, 受け取る
lock, かぎ
fixed, 固定した
bed, ベッド
house, 家
growth, 成長
flag, 旗
male, 男性
weather, 天気
data, データ
error, 間違い
ornament, 装飾
cruel, 無情な
where, 場所
branch, 枝
vessel, 容器
spade, スペード
boot, ブーツ
coat, コート
writing, 作文
