Eng,Ja
off, ～から離れて
smoke, 煙を出す
thunder, 雷
design, 計画
under, ～の下に
parallel, 平行な
industry, 産業
like, 同じような
fight, ファイト
after, ～の後に
knee, ひざ
road, 道筋
international, 国際的な
fertile, 肥えた
iron, 鉄
view, 視野
thick, 濃い
brown, 茶色い
fowl, 家禽
process, 過程
addition, 付け足し
act, 行動する
discussion, 話し合い
mixed, まざった
moon, 月
together, 同時に
cheese, チーズ名詞】
slip, すべる
stomach, 胃
library, ライブラリ
fly, 飛ぶ
wet, ぬれた
right, 正確な
shame, 恥
plant, 植物
step, 段
bath, 入浴
book, 本
song, 歌
sister, 姉妹
burst, 爆発
while, 期間
much, ほぼ
meat, 肉
meeting, 集まり
train, 列車
disgust, 吐き気を催させる
let, させる
forward, 前に
feeble, 弱々しい
