Eng,Ja
rub, こする
free, 自由な
north, 北
danger, リスク
time, 時
keep, 保つ
price, 価格
early, 早い
transport, 運輸
serious, まじめな
start, 開始
near, ほぼ
nose, 鼻
cat, ネコ
any, なんらか
spade, スペード
conscious, 気づいて
steel, 鋼鉄
ticket, チケット
debt, 負債
present, 現在の
instrument, 器具
damage, そこなう
drop, しずく
grip, 取っ手
thought, 思索
comb, クシ
great, 偉大な
on, うえに
amusement, 楽しみ
hanging, つりさげ
walk, 歩く
throat, のど
insect, 虫
glove, 手袋
value, 価値
office, オフィス
different, 変わった
and, ～と
high, 高い
father, 父親
punishment, 処罰
push, 押す
measure, 計測する
writing, 作文
even, 均等な
apple, リンゴ
credit, 信用
across, 横切った
dirty, 汚れた
