Eng,Ja
harbor, 港
tall, 高い
judge, 判断する
separate, 分かれた
skirt, スカート
full, いっぱいの
for, ～のために
minute, 分
horse, 馬
clock, 計時
important, 重要な
living, 生きている
basket, かご
but, しかし
dead, 枯れた
history, 歴史
pin, ピン
circle, 一回り
flat, フラット
woman, 女性
science, 科学
neck, 首
poison, 毒
west, 西
ice, 氷
hope, 実現させたいと願う
addition, 付け足し
goat, 山羊
wide, 幅広い
back, 以前に
chin, アゴ
process, 過程
while, 期間
south, 南
do, する
son, 息子
yellow, 黄色い
among, ～の間に
word, 言葉
if, もしも
cheap, 安上がりな
let, させる
rough, 荒い
when, 時期
snake, ヘビ
here, ここに
key, 鍵
interest, 気晴らし
night, 夜
committee, コミッティ
