Eng,Ja
dog, 犬
behaviour, 行儀
learning, 修得
condition, 条件
brake, 歯止め
cart, カート
branch, 枝
west, 西
forward, 前に
mass, 大きな塊
some, いくつかの
nuts, 木の実
strong, 力強い
horn, 角
bed, ベッド
drawer, 引き出し
international, 国際的な
shake, 振る
wing, つばさ
discovery, 発見
against, 反抗して
adjustment, 手直し
free, 自由な
full, いっぱいの
doubt, 怪しむ
thick, 濃い
invention, 考案
system, システム
paint, 色つけ
motion, 動き
solid, 固体の
nation, 国家
group, 集まり
protest, 断言する
kiss, くちづけ
book, 本
night, 夜
stage, 区間
mountain, 山
stick, ステッキ
push, 押す
second, 第2に
near, ほぼ
egg, 卵
attack, 攻める
dust, 散らかす
stomach, 胃
get, 受け取る
financial, 財務上の
belief, 印象
