Eng,Ja
library, ライブラリ
need, 動機
last, 臨終の
coat, コート
payment, 入金
chance, 賭け
come, 訪れる
hook, 鉤
pain, 痛み
good, 良い
conscious, 気づいて
let, させる
jelly, ゼリー化する
chain, くさり
father, 父親
floor, 床
limit, 制約
industry, 産業
fish, 魚
put, 置く
milk, 牛乳
ticket, チケット
door, 扉
expert, 専門家
voice, 声
steel, 鋼鉄
talk, 話す
loud, うるさい
join, 交わる
loose, なまけた
back, 以前に
death, 絶命
oven, 天火
cook, 炊事する
fowl, 家禽
cup, コップ
stop, ストップ
flight, 飛行
brush, ブラシ
shade, 影
music, ミュージック
cake, ケーキ
before, 先に
effect, 結果
hat, 帽子
worm, 虫
sticky, 粘っこい
thumb, おやゆび
please, 喜ばせる
spade, スペード
