Eng,Ja
edge, 刃
full, いっぱいの
strange, 奇妙な
cat, ネコ
why, 理由
keep, 保つ
nation, 国家
space, スペース
last, 臨終の
property, 所有物
boy, 男の子
pleasure, 喜び
industry, 産業
free, 自由な
year, 年
copper, 銅
baby, ベビー
offer, 提供する
record, レコード
religion, 信仰
green, 緑色の
sound, 鳴る
make, 作る
language, 言語
kind, 親切な
now, 今
existence, 存在
point, 点
drink, 飲む
skin, ひふ
roof, 屋根
drawer, 引き出し
drain, 排水路
angle, 角度
than, ～よりも
over, 上の方に
ant, アリ
art, 芸術
form, 形姿
school, 学校
before, 先に
ice, 氷
wave, 波
owner, 持主
river, 川
kick, 蹴り
whip, むち打ち
loss, 敗北
potato, ジャガイモ
taste, 味覚
