Eng,Ja
unit, 単一体
egg, 卵
verse, 詩節
business, シゴト
request, 要求
test, テスト
end, 終える
open, 開いた
receipt, 受取り
cover, おおう
field, 野原
muscle, 筋肉
ill, 不完全な
hook, 鉤
connection, 結びつき
purpose, 目的
oven, 天火
voice, 声
servant, 使用人
stem, 茎
sugar, さとう
waiting, 待ち時間
decision, 判断
angry, 怒った
quality, 品質
soup, スープ
kettle, 湯わかし
when, 時期
organization, 設立
body, 本体
foot, 足
part, ある程度
pen, ペン
hate, うらむ
wire, 針金
be, ある
run, 走る
drain, 排水路
mind, 気持ち
complete, 完全な
quick, 素早い
parcel, 小包
plane, 平ら
base, 基礎づける
get, 受け取る
thin, 痩せた
window, ウィンドウ
leg, 脚
other, ほかの
good, 良い
