Eng,Ja
parallel, 平行な
tomorrow, あす
till, ～まで
loose, なまけた
scissors, はさみ
thread, 糸
may, してもいい
join, 交わる
account, 説明
approval, 賛成
question, 問いただす
window, ウィンドウ
again, さらに
support, 支える
part, ある程度
parcel, 小包
current, 流れ
tax, 課税
data, データ
station, 駅
morning, 朝
powder, 粉
worm, 虫
mark, 目印
picture, 絵
before, 先に
earth, 地球
near, ほぼ
will, するつもりだ
berry, ベリー
attempt, 試みる
bone, 骨
rice, おコメ
offer, 提供する
jewel, 宝石
limit, 制約
bottle, ビン
leg, 脚
bag, ふくろ
drink, 飲む
comb, クシ
blood, 血液
water, 水
reading, 読み取り
send, 送る
pleasure, 喜び
table, テーブル
education, 教育
punishment, 処罰
fiction, 作り話
