Eng,Ja
week, 週
certain, 確かな
chemical, 化学的な
offer, 提供する
hair, 毛
jewel, 宝石
example, 見本
basket, かご
pig, ぶた
rod, 棒
religion, 信仰
already, すでに
ever, つねに
letter, 便り
great, 偉大な
electric, 電気の
town, 町
wheel, 車輪
needle, はり
cause, 原因
point, 点
even, 均等な
cart, カート
because, なぜなら
leg, 脚
green, 緑色の
fertile, 肥えた
science, 科学
wire, 針金
question, 問いただす
only, ただひとり
dry, 乾いた
girl, 令嬢
pocket, 懐中
then, それから
statement, 述べる
structure, 構造
shake, 振る
attempt, 試みる
between, 中間に
crime, 犯罪
stamp, スタンプ
still, 静かな
motion, 動き
argument, 議論
school, 学校
band, しばるもの
flower, 花を咲かす
morning, 朝
much, ほぼ
