Eng,Ja
education, 教育
glass, ガラス
peace, 和平
trousers, ズボン
soft, 柔らかな
be, ある
circle, 一回り
tin, スズ
loose, なまけた
round, まるい
sound, 鳴る
dust, 散らかす
record, レコード
wire, 針金
organization, 設立
late, 遅れた
ill, 不完全な
library, ライブラリ
clear, 明るい
dress, 衣服
shoe, くつ
government, 統治すること
full, いっぱいの
sign, 記号
pipe, パイプ
about, ～について
north, 北
picture, 絵
whistle, 口笛
through, から
tax, 課税
frame, 骨組み
word, 言葉
hope, 実現させたいと願う
rule, ルール
discussion, 話し合い
may, してもいい
note, 記録
fiction, 作り話
copy, コピー
feeling, 感じ
same, 同じ
building, 建設
bag, ふくろ
disgust, 吐き気を催させる
iron, 鉄
nerve, 神経
hair, 毛
thumb, おやゆび
nuts, 木の実
