Eng,Ja
religion, 信仰
white, 白い
cake, ケーキ
guide, 案内する
brake, 歯止め
reaction, 反応
food, 食べ物
bright, 明々と
time, 時
stretch, 伸張
loud, うるさい
attempt, 試みる
girl, 令嬢
jelly, ゼリー化する
mist, 霧
page, ページ
head, アタマ
owner, 持主
scale, 目盛り
talk, 話す
drawer, 引き出し
theory, 理論
group, 集まり
ring, 鳴り響く
twist, ひねる
quite, すっかり
rule, ルール
still, 静かな
structure, 構造
button, ボタン
boat, 小船
rough, 荒い
disease, 不快な状態
army, 軍団
expansion, 引き伸ばし
tight, 窮屈な
education, 教育
language, 言語
government, 統治すること
rate, 割合
throat, のど
foolish, おろかな
high, 高い
night, 夜
brother, 兄
screw, ねじる
hour, 時間
committee, コミッティ
board, 板
where, 場所
