Eng,Ja
foolish, おろかな
laugh, 笑う
desire, 欲しがる
medical, 医療
air, 空気
breath, 呼吸
still, 静かな
normal, 正常な
social, 社会
chest, むね
where, 場所
bath, 入浴
representative, 代表する
put, 置く
dead, 枯れた
war, 戦争
unit, 単一体
harbor, 港
slip, すべる
stretch, 伸張
view, 視野
brush, ブラシ
heat, 暖める
bag, ふくろ
basin, 洗面器
together, 同時に
west, 西
cook, 炊事する
some, いくつかの
mountain, 山
machine, 機械
control, 制御する
foot, 足
thread, 糸
lip, くちびる
pipe, パイプ
payment, 入金
ant, アリ
stocking, ストッキング
yes, 肯定的な返答
shut, 閉じた
sense, 感覚
step, 段
future, 未来の形容詞】
salt, 塩
possible, ありうる
sharp, するどい
government, 統治すること
winter, 冬
fat, 太った
