Eng,Ja
drop, しずく
design, 計画
fowl, 家禽
loss, 敗北
price, 価格
burst, 爆発
beautiful, 美しい
lip, くちびる
comfort, 快適
cake, ケーキ
glove, 手袋
feeble, 弱々しい
or, または
brick, ブロック
gun, 銃
even, 均等な
electric, 電気の
manager, 管理職
pocket, 懐中
high, 高い
about, ～について
broken, 壊れた
bridge, 橋
father, 父親
knowledge, 知識
sugar, さとう
rule, ルール
much, ほぼ
fork, フォーク
present, 現在の
shut, 閉じた
middle, 中位
ball, 球
curve, 曲がる
fat, 太った
female, 牝
steam, 蒸す
polish, 磨る
start, 開始
view, 視野
servant, 使用人
base, 基礎づける
carriage, 乗り物
skin, ひふ
cotton, 綿
building, 建設
adjustment, 手直し
fruit, くだもの
silver, 銀
value, 価値
