Eng,Ja
harbor, 港
only, ただひとり
lead, 導く
metal, メタリック
north, 北
shock, ショック
say, 言う
push, 押す
rest, 休む
trick, いたずら
word, 言葉
reward, 報いる
cold, 冷たい
different, 変わった
brain, 頭脳
sugar, さとう
hospital, 病院
vessel, 容器
existence, 存在
bitter, 苦い
parcel, 小包
or, または
play, 遊ぶ
free, 自由な
gun, 銃
minute, 分
start, 開始
liquid, 液体
rice, おコメ
thought, 思索
collar, エリ
week, 週
boiling, 煮えた
thick, 濃い
price, 価格
whistle, 口笛
memory, 記憶
driving, 運転
land, 土地
experience, 経験
soup, スープ
copy, コピー
female, 牝
small, 小さい
self, 自分
move, 動く
tight, 窮屈な
white, 白い
cheap, 安上がりな
island, 島
