Eng,Ja
rest, 休む
sugar, さとう
lip, くちびる
basin, 洗面器
story, 物語
stamp, スタンプ
grip, 取っ手
among, ～の間に
current, 流れ
measure, 計測する
cloth, 生地
smooth, なめらかな
north, 北
process, 過程
burst, 爆発
trade, 交換
sleep, 眠る
hat, 帽子
bitter, 苦い
also, もまた
sun, 太陽
engine, エンジン
poison, 毒
paper, 紙
pipe, パイプ
button, ボタン
economic, 経済
together, 同時に
wound, 負傷
garden, 庭いじりをする
addition, 付け足し
high, 高い
increase, 増やす
possible, ありうる
so, 現に
tight, 窮屈な
smash, 打ち付ける
attention, 注意
board, 板
news, ニュース
form, 形姿
first, 最初に
boat, 小船
wave, 波
turn, 回転させる
help, 助ける
clear, 明るい
weight, 重さ
slow, 遅い
ticket, チケット
