Eng,Ja
cat, ネコ
oven, 天火
chin, アゴ
wine, ワイン
side, 片面
map, 地図
root, 根っこ
cup, コップ
force, 勢い
to, ～へ
north, 北
summer, 夏
waiting, 待ち時間
comb, クシ
water, 水
care, 整備
snake, ヘビ
use, 使う
fire, 焼く
substance, 物質
male, 男性
grip, 取っ手
brick, ブロック
fowl, 家禽
leaf, 葉っぱ
adjustment, 手直し
structure, 構造
farm, 農場
dirty, 汚れた
by, ～のそばで
play, 遊ぶ
kick, 蹴り
frame, 骨組み
day, 昼間
or, または
possible, ありうる
language, 言語
debt, 負債
lip, くちびる
among, ～の間に
sail, 帆
shut, 閉じた
front, 正面
instrument, 器具
where, 場所
disease, 不快な状態
last, 臨終の
sound, 鳴る
stiff, こわばった
skin, ひふ
