Eng,Ja
end, 終える
out, 外に
potato, ジャガイモ
responsible, 責任がある
science, 科学
poison, 毒
position, 場所
fruit, くだもの
brake, 歯止め
after, ～の後に
silk, 絹糸
roll, 転がる
stage, 区間
stomach, 胃
self, 自分
wire, 針金
second, 第2に
increase, 増やす
blow, 吹く
seem, 見える
violent, 暴力的
religion, 信仰
paint, 色つけ
bent, まがった
humor, ユーモア
ill, 不完全な
gun, 銃
mouth, 口
servant, 使用人
sock, ぶん殴る
ornament, 装飾
electric, 電気の
before, 先に
island, 島
vessel, 容器
statement, 述べる
do, する
bed, ベッド
front, 正面
now, 今
pen, ペン
separate, 分かれた
chin, アゴ
army, 軍団
back, 以前に
other, ほかの
far, はるかに
cow, 牛
color, 色合い
wash, 洗う
