Eng,Ja
smoke, 煙を出す
female, 牝
medical, 医療
bell, ベル
pot, つぼ
scale, 目盛り
ear, 耳
other, ほかの
arm, 武装
quite, すっかり
loud, うるさい
young, 若い
flat, フラット
animal, 動物
disgust, 吐き気を催させる
act, 行動する
drop, しずく
box, 箱
possible, ありうる
order, 配列
deep, 深い
as, 同じように
end, 終える
frequent, よくある
operation, 運転
hair, 毛
say, 言う
get, 受け取る
regret, 惜しむ
education, 教育
boat, 小船
there, そこに
stiff, こわばった
bag, ふくろ
test, テスト
down, 下に
control, 制御する
parallel, 平行な
water, 水
work, 労働
please, 喜ばせる
sticky, 粘っこい
mind, 気持ち
screw, ねじる
second, 第2に
plane, 平ら
month, 月
accordingto, ～によれば
complex, 複雑な
already, すでに
