Eng,Ja
level, 水平になる
law, 法律
record, レコード
spoon, スプーン
pull, 引っぱる
harmony, 調和
food, 食べ物
power, 力
stamp, スタンプ
certain, 確かな
road, 道筋
stitch, ぬい合わせる
wood, 樹木
mass, 大きな塊
slope, 傾ける
seat, 着席させる
male, 男性
normal, 正常な
transport, 運輸
very, とても
curtain, カーテン
current, 流れ
wet, ぬれた
connection, 結びつき
oil, オイル
cover, おおう
special, 特別の
south, 南
keep, 保つ
porter, 運搬人
bulb, 球状のもの
public, パブリック
powder, 粉
knee, ひざ
paste, 貼りつける
shoe, くつ
sail, 帆
farm, 農場
control, 制御する
all, すべて
operation, 運転
laugh, 笑う
support, 支える
dirty, 汚れた
bottle, ビン
horn, 角
sheep, ヒツジ
scissors, はさみ
for, ～のために
rail, 横木
