Eng,Ja
come, 訪れる
scissors, はさみ
table, テーブル
smoke, 煙を出す
by, ～のそばで
living, 生きている
store, 商店
sign, 記号
base, 基礎づける
regular, 普通の
same, 同じ
salt, 塩
berry, ベリー
burn, 燃す
wax, ロウ
knife, ナイフ
summer, 夏
place, 場所
meat, 肉
middle, 中位
violent, 暴力的
lift, 持ち上げる
dress, 衣服
night, 夜
note, 記録
straight, まっすぐな
plate, 平皿
shelf, 棚
nuts, 木の実
pain, 痛み
broken, 壊れた
tray, お盆
white, 白い
match, 試合
ill, 不完全な
oil, オイル
dark, 暗い
idea, 着想
forward, 前に
political, 政治的な
page, ページ
seed, たね
desire, 欲しがる
while, 期間
among, ～の間に
song, 歌
process, 過程
steel, 鋼鉄
married, 結婚している
judge, 判断する
