Eng,Ja
keep, 保つ
hanging, つりさげ
low, 低い
neck, 首
bit, かけら
wide, 幅広い
argument, 議論
complete, 完全な
normal, 正常な
regret, 惜しむ
substance, 物質
quite, すっかり
together, 同時に
office, オフィス
waiting, 待ち時間
society, 世界
support, 支える
let, させる
fact, 事実
blue, 青い
suggestion, 提案
waste, 浪費する
amount, 量
station, 駅
egg, 卵
sugar, さとう
kettle, 湯わかし
will, するつもりだ
plate, 平皿
pull, 引っぱる
detail, 詳しく述べる
in, 中に
history, 歴史
purpose, 目的
cloth, 生地
arch, カーブ
fly, 飛ぶ
every, あらゆる
blade, 刃物
sea, 海
adjustment, 手直し
for, ～のために
brain, 頭脳
though, だが
connection, 結びつき
also, もまた
expert, 専門家
pocket, 懐中
west, 西
into, (入った)中に
