Eng,Ja
pump, 注入する
so, 現に
wise, かしこい才
polish, 磨る
destruction, 撃滅
sharp, するどい
chest, むね
net, ネット
sheep, ヒツジ
put, 置く
thread, 糸
part, ある程度
complete, 完全な
as, 同じように
spoon, スプーン
throat, のど
curve, 曲がる
berry, ベリー
whistle, 口笛
spring, 春
or, または
warm, 暖める
round, まるい
steel, 鋼鉄
death, 絶命
example, 見本
rain, 雨が降る
glass, ガラス
even, 均等な
by, ～のそばで
distribution, 配布
sail, 帆
country, 国家
approval, 賛成
angry, 怒った
grip, 取っ手
pleasure, 喜び
kind, 親切な
touch, タッチ
ticket, チケット
rate, 割合
seem, 見える
high, 高い
electric, 電気の
wax, ロウ
root, 根っこ
unit, 単一体
run, 走る
fold, 折りたたむ
chemical, 化学的な
