Eng,Ja
look, 見える
clock, 計時
meat, 肉
care, 整備
authority, 権威
fight, ファイト
secret, 秘密の
sea, 海
church, 教会
discussion, 話し合い
skirt, スカート
size, サイズ
disease, 不快な状態
sail, 帆
top, てっぺん
substance, 物質
material, 実質的
word, 言葉
stop, ストップ
broken, 壊れた
separate, 分かれた
moon, 月
up, 上方へ
payment, 入金
very, とても
as, 同じように
desire, 欲しがる
secretary, 事務官
still, 静かな
fiction, 作り話
all, すべて
space, スペース
rail, 横木
left, 左の
burn, 燃す
rice, おコメ
why, 理由
sweet, 優しい
bath, 入浴
give, あたえる
pocket, 懐中
manager, 管理職
change, 変質
cover, おおう
wire, 針金
cruel, 無情な
when, 時期
bit, かけら
bent, まがった
end, 終える
