Eng,Ja
star, 星
history, 歴史
into, (入った)中に
idea, 着想
shock, ショック
mass, 大きな塊
thread, 糸
dust, 散らかす
any, なんらか
blood, 血液
error, 間違い
science, 科学
order, 配列
account, 説明
note, 記録
jump, 跳躍する
farm, 農場
broken, 壊れた
damage, そこなう
boot, ブーツ
important, 重要な
carriage, 乗り物
smell, においがする
far, はるかに
loss, 敗北
water, 水
elastic, 弾力のある
nuts, 木の実
cheap, 安上がりな
adjustment, 手直し
spring, 春
steam, 蒸す
snake, ヘビ
social, 社会
instrument, 器具
size, サイズ
building, 建設
happy, しあわせな
net, ネット
level, 水平になる
frequent, よくある
true, 正確な
behaviour, 行儀
sharp, するどい
sign, 記号
rub, こする
glove, 手袋
trousers, ズボン
wave, 波
breath, 呼吸
