Eng,Ja
ray, 光線
boiling, 煮えた
angle, 角度
go, 行く
dirty, 汚れた
mist, 霧
bad, ひどい
woman, 女性
humor, ユーモア
paper, 紙
operation, 運転
nerve, 神経
step, 段
secretary, 事務官
same, 同じ
chemical, 化学的な
acid, すっぱい
flower, 花を咲かす
wood, 樹木
regular, 普通の
face, 顔
because, なぜなら
shame, 恥
ready, 準備のできた
between, 中間に
time, 時
left, 左の
committee, コミッティ
and, ～と
long, 長い
medical, 医療
guide, 案内する
page, ページ
army, 軍団
foot, 足
pen, ペン
nation, 国家
slope, 傾ける
brush, ブラシ
living, 生きている
measure, 計測する
noise, 騒ぐ
prose, 散文
lift, 持ち上げる
some, いくつかの
pin, ピン
edge, 刃
decision, 判断
teaching, 教え
there, そこに
