Eng,Ja
bed, ベッド
roll, 転がる
minute, 分
bell, ベル
mixed, まざった
wool, 羊毛
purpose, 目的
across, 横切った
sheep, ヒツジ
list, 挙げる
smell, においがする
soup, スープ
growth, 成長
mine, 私の
hospital, 病院
wrong, 不正確な
no, いいえ
letter, 便り
tongue, 舌
tray, お盆
tall, 高い
hollow, 空っぽな
at, ～に
stop, ストップ
quality, 品質
flame, 火炎
wax, ロウ
military, 軍事的な
blue, 青い
rod, 棒
love, 愛情
dark, 暗い
common, 共通の
order, 配列
gray, 灰色の
nail, つめ
early, 早い
horse, 馬
house, 家
bird, 鳥
drain, 排水路
metal, メタリック
waste, 浪費する
cheap, 安上がりな
tin, スズ
economic, 経済
branch, 枝
little, わずか
green, 緑色の
structure, 構造
