Eng,Ja
business, シゴト
no, いいえ
hope, 実現させたいと願う
girl, 令嬢
dry, 乾いた
touch, タッチ
writing, 作文
slip, すべる
mind, 気持ち
rain, 雨が降る
cake, ケーキ
rule, ルール
driving, 運転
level, 水平になる
detail, 詳しく述べる
quality, 品質
committee, コミッティ
wash, 洗う
skin, ひふ
in, 中に
black, 黒い
regret, 惜しむ
how, 方法
jump, 跳躍する
wind, 風
round, まるい
plate, 平皿
keep, 保つ
spoon, スプーン
fork, フォーク
produce, 生産する
pain, 痛み
use, 使う
soap, せっけん
brush, ブラシ
hole, 穴
gold, 黄金
beautiful, 美しい
receipt, 受取り
father, 父親
history, 歴史
go, 行く
say, 言う
selection, 選択
guide, 案内する
certain, 確かな
roof, 屋根
physical, 物理的
again, さらに
expansion, 引き伸ばし
