Eng,Ja
goat, 山羊
shelf, 棚
elastic, 弾力のある
come, 訪れる
bird, 鳥
for, ～のために
apple, リンゴ
minute, 分
change, 変質
hate, うらむ
whip, むち打ち
gray, 灰色の
dark, 暗い
nose, 鼻
stick, ステッキ
hand, 手
behaviour, 行儀
dead, 枯れた
swim, 泳ぎ
river, 川
bright, 明々と
book, 本
family, 家族
soft, 柔らかな
wrong, 不正確な
rough, 荒い
building, 建設
finger, 指
condition, 条件
economic, 経済
meeting, 集まり
though, だが
talk, 話す
humor, ユーモア
fall, 落ちる
attention, 注意
smile, ほほ笑む
question, 問いただす
umbrella, かさ
writing, 作文
school, 学校
drawer, 引き出し
field, 野原
drain, 排水路
boat, 小船
necessary, 必然的
some, いくつかの
machine, 機械
crime, 犯罪
let, させる
