Eng,Ja
note, 記録
street, ストリート
daughter, 娘
mixed, まざった
damage, そこなう
soft, 柔らかな
learning, 修得
ready, 準備のできた
impulse, 衝動
curve, 曲がる
thin, 痩せた
road, 道筋
milk, 牛乳
division, 分割
be, ある
stomach, 胃
chance, 賭け
request, 要求
private, 秘密の
small, 小さい
common, 共通の
straight, まっすぐな
father, 父親
invention, 考案
information, 情報
on, うえに
place, 場所
limit, 制約
receipt, 受取り
if, もしも
reaction, 反応
of, ～の
connection, 結びつき
thick, 濃い
after, ～の後に
early, 早い
stage, 区間
step, 段
boiling, 煮えた
able, 可能な
social, 社会
go, 行く
news, ニュース
middle, 中位
produce, 生産する
some, いくつかの
move, 動く
machine, 機械
high, 高い
natural, 自然な
