Eng,Ja
fire, 焼く
rod, 棒
eye, 目
certain, 確かな
clean, きれいな
harbor, 港
cow, 牛
by, ～のそばで
stitch, ぬい合わせる
impulse, 衝動
watch, 時計
son, 息子
start, 開始
meal, 食事
polish, 磨る
of, ～の
pipe, パイプ
land, 土地
needle, はり
rhythm, リズム
smash, 打ち付ける
condition, 条件
profit, 得する
wise, かしこい才
tin, スズ
attention, 注意
experience, 経験
over, 上の方に
shut, 閉じた
humor, ユーモア
on, うえに
cruel, 無情な
ray, 光線
distribution, 配布
woman, 女性
name, 名前
crime, 犯罪
also, もまた
hammer, ハンマー
month, 月
low, 低い
town, 町
feeling, 感じ
side, 片面
school, 学校
move, 動く
metal, メタリック
paste, 貼りつける
knot, 結ぶ
bitter, 苦い
