Eng,Ja
ornament, 装飾
purpose, 目的
whistle, 口笛
probable, ありそうな
red, 赤い
ship, 船
right, 正確な
basin, 洗面器
payment, 入金
bath, 入浴
request, 要求
level, 水平になる
responsible, 責任がある
sound, 鳴る
music, ミュージック
picture, 絵
trouble, 故障
agreement, 協定
water, 水
polish, 磨る
dust, 散らかす
cloth, 生地
fat, 太った
attention, 注意
complete, 完全な
public, パブリック
wine, ワイン
push, 押す
baby, ベビー
record, レコード
fly, 飛ぶ
jump, 跳躍する
yesterday, 昨日
awake, 覚めた
go, 行く
do, する
kind, 親切な
like, 同じような
branch, 枝
sponge, スポンジ
brake, 歯止め
thick, 濃い
hope, 実現させたいと願う
feeble, 弱々しい
walk, 歩く
bee, 蜂
need, 動機
time, 時
data, データ
value, 価値
