Eng,Ja
sister, 姉妹
punishment, 処罰
where, 場所
moon, 月
theory, 理論
stick, ステッキ
fire, 焼く
kind, 親切な
chin, アゴ
open, 開いた
rat, ネズミ
shock, ショック
body, 本体
school, 学校
lift, 持ち上げる
sad, 残念な
dry, 乾いた
hearing, 聞くこと
all, すべて
fruit, くだもの
competition, 競争
part, ある程度
crime, 犯罪
why, 理由
regular, 普通の
music, ミュージック
event, できごと
price, 価格
rice, おコメ
flame, 火炎
need, 動機
stone, 石
clean, きれいな
nose, 鼻
snow, 雪が降る
kiss, くちづけ
boat, 小船
curtain, カーテン
book, 本
thin, 痩せた
business, シゴト
army, 軍団
doubt, 怪しむ
jewel, 宝石
past, 通り越して
law, 法律
salt, 塩
debt, 負債
fowl, 家禽
flag, 旗
