Eng,Ja
world, 世界
cruel, 無情な
then, それから
cart, カート
private, 秘密の
tendency, 傾向
unit, 単一体
board, 板
among, ～の間に
give, あたえる
low, 低い
stone, 石
son, 息子
to, ～へ
face, 顔
damage, そこなう
dry, 乾いた
almost, ほぼ
trousers, ズボン
economic, 経済
responsible, 責任がある
pocket, 懐中
plate, 平皿
mixed, まざった
thin, 痩せた
thread, 糸
medical, 医療
wheel, 車輪
wax, ロウ
taste, 味覚
orange, オレンジがかった
umbrella, かさ
hollow, 空っぽな
quality, 品質
profit, 得する
down, 下に
thunder, 雷
mark, 目印
net, ネット
quick, 素早い
earth, 地球
kettle, 湯わかし
representative, 代表する
be, ある
seed, たね
forward, 前に
across, 横切った
art, 芸術
even, 均等な
doubt, 怪しむ
