Eng,Ja
black, 黒い
with, いっしょに
twist, ひねる
well, よく
sad, 残念な
reason, 推論
parallel, 平行な
rod, 棒
egg, 卵
kind, 親切な
accordingto, ～によれば
dear, 親愛な
have, 持っている
warm, 暖める
military, 軍事的な
bright, 明々と
teaching, 教え
tray, お盆
discussion, 話し合い
rat, ネズミ
page, ページ
design, 計画
weather, 天気
rail, 横木
open, 開いた
small, 小さい
dependent, 依存した
suggestion, 提案
fire, 焼く
interest, 気晴らし
shock, ショック
green, 緑色の
slow, 遅い
over, 上の方に
already, すでに
forward, 前に
finger, 指
map, 地図
private, 秘密の
red, 赤い
acid, すっぱい
industry, 産業
sheep, ヒツジ
talk, 話す
division, 分割
copper, 銅
substance, 物質
polish, 磨る
advertisement, アド
porter, 運搬人
