Eng,Ja
copper, 銅
edge, 刃
dust, 散らかす
some, いくつかの
side, 片面
record, レコード
sky, 空
mind, 気持ち
green, 緑色の
roll, 転がる
complex, 複雑な
competition, 競争
smoke, 煙を出す
over, 上の方に
smell, においがする
comfort, 快適
go, 行く
instrument, 器具
now, 今
stop, ストップ
before, 先に
hour, 時間
future, 未来の形容詞】
married, 結婚している
make, 作る
chain, くさり
umbrella, かさ
mother, 母親
hollow, 空っぽな
military, 軍事的な
young, 若い
tax, 課税
print, 印刷
knife, ナイフ
past, 通り越して
person, 個人
road, 道筋
wave, 波
deep, 深い
food, 食べ物
on, うえに
picture, 絵
sad, 残念な
have, 持っている
waste, 浪費する
after, ～の後に
tongue, 舌
shut, 閉じた
secret, 秘密の
ray, 光線
