Eng,Ja
put, 置く
early, 早い
narrow, せまい
snow, 雪が降る
store, 商店
accordingto, ～によれば
red, 赤い
use, 使う
edge, 刃
angle, 角度
female, 牝
powder, 粉
swim, 泳ぎ
cold, 冷たい
mark, 目印
circle, 一回り
cut, カットされた
ready, 準備のできた
about, ～について
possible, ありうる
roof, 屋根
new, 新しい
from, ～から
stamp, スタンプ
weight, 重さ
suggestion, 提案
monkey, さる
way, 道
agreement, 協定
again, さらに
sweet, 優しい
cushion, クッション
property, 所有物
hope, 実現させたいと願う
necessary, 必然的
trade, 交換
say, 言う
fixed, 固定した
conscious, 気づいて
cause, 原因
orange, オレンジがかった
nose, 鼻
second, 第2に
credit, 信用
basin, 洗面器
support, 支える
all, すべて
detail, 詳しく述べる
pig, ぶた
serious, まじめな
