Eng,Ja
sock, ぶん殴る
automatic, 自動的な
representative, 代表する
yesterday, 昨日
song, 歌
birth, 生みだす
effect, 結果
money, 硬貨
ball, 球
some, いくつかの
driving, 運転
long, 長い
carriage, 乗り物
authority, 権威
please, 喜ばせる
year, 年
help, 助ける
natural, 自然な
snake, ヘビ
worm, 虫
see, 見る
box, 箱
map, 地図
art, 芸術
when, 時期
drain, 排水路
simple, シンプルな
grain, 穀物
parallel, 平行な
pleasure, 喜び
meal, 食事
tall, 高い
off, ～から離れて
run, 走る
do, する
by, ～のそばで
square, 四角
certain, 確かな
impulse, 衝動
rhythm, リズム
earth, 地球
bitter, 苦い
finger, 指
stage, 区間
wing, つばさ
list, 挙げる
branch, 枝
test, テスト
garden, 庭いじりをする
voice, 声
