Eng,Ja
parcel, 小包
body, 本体
opposite, 向かい合わせの
no, いいえ
strange, 奇妙な
cake, ケーキ
because, なぜなら
horse, 馬
loud, うるさい
bone, 骨
net, ネット
shirt, シャツ
expansion, 引き伸ばし
way, 道
head, アタマ
deep, 深い
feeble, 弱々しい
force, 勢い
thumb, おやゆび
steam, 蒸す
mark, 目印
fiction, 作り話
voice, 声
existence, 存在
thick, 濃い
coat, コート
cushion, クッション
goat, 山羊
help, 助ける
why, 理由
whistle, 口笛
jewel, 宝石
wall, カベ
prison, 牢屋
opinion, 意見
girl, 令嬢
discovery, 発見
library, ライブラリ
station, 駅
key, 鍵
stop, ストップ
see, 見る
top, てっぺん
long, 長い
mass, 大きな塊
ever, つねに
wise, かしこい才
face, 顔
frame, 骨組み
short, 短い
