Eng,Ja
brother, 兄
bottle, ビン
tendency, 傾向
library, ライブラリ
tail, 尻尾
history, 歴史
loss, 敗北
engine, エンジン
destruction, 撃滅
ill, 不完全な
cause, 原因
regular, 普通の
shade, 影
verse, 詩節
tray, お盆
government, 統治すること
walk, 歩く
pin, ピン
print, 印刷
knife, ナイフ
soup, スープ
bent, まがった
sad, 残念な
ball, 球
stretch, 伸張
room, 部屋
solid, 固体の
kettle, 湯わかし
blade, 刃物
learning, 修得
early, 早い
hard, 必死に
get, 受け取る
knot, 結ぶ
when, 時期
winter, 冬
damage, そこなう
fiction, 作り話
rod, 棒
special, 特別の
sister, 姉妹
thunder, 雷
new, 新しい
point, 点
same, 同じ
reason, 推論
shake, 振る
give, あたえる
advertisement, アド
doubt, 怪しむ
