Eng,Ja
name, 名前
pen, ペン
transport, 運輸
trick, いたずら
wire, 針金
swim, 泳ぎ
kettle, 湯わかし
yellow, 黄色い
cover, おおう
morning, 朝
rod, 棒
like, 同じような
value, 価値
tired, 疲れた
winter, 冬
society, 世界
very, とても
bad, ひどい
hospital, 病院
hook, 鉤
key, 鍵
blade, 刃物
tendency, 傾向
girl, 令嬢
comb, クシ
unit, 単一体
picture, 絵
up, 上方へ
servant, 使用人
tray, お盆
brake, 歯止め
with, いっしょに
only, ただひとり
smash, 打ち付ける
and, ～と
table, テーブル
sweet, 優しい
basket, かご
shake, 振る
chin, アゴ
discussion, 話し合い
present, 現在の
boot, ブーツ
polish, 磨る
system, システム
same, 同じ
gold, 黄金
sudden, 急激
sock, ぶん殴る
story, 物語
