Eng,Ja
ray, 光線
color, 色合い
loss, 敗北
operation, 運転
grain, 穀物
mark, 目印
right, 正確な
bag, ふくろ
quite, すっかり
theory, 理論
exchange, 取り替える
do, する
nerve, 神経
representative, 代表する
copper, 銅
time, 時
credit, 信用
bucket, バケツ
wax, ロウ
stem, 茎
political, 政治的な
take, 取る
happy, しあわせな
teaching, 教え
taste, 味覚
page, ページ
metal, メタリック
throat, のど
comfort, 快適
sticky, 粘っこい
danger, リスク
far, はるかに
of, ～の
common, 共通の
accordingto, ～によれば
unit, 単一体
till, ～まで
trick, いたずら
relation, 結付き
important, 重要な
berry, ベリー
reading, 読み取り
seed, たね
quick, 素早い
move, 動く
scale, 目盛り
instrument, 器具
gun, 銃
grass, 芝生
elastic, 弾力のある
