Eng,Ja
language, 言語
material, 実質的
potato, ジャガイモ
open, 開いた
bucket, バケツ
hospital, 病院
star, 星
shirt, シャツ
cow, 牛
punishment, 処罰
bridge, 橋
move, 動く
loud, うるさい
theory, 理論
winter, 冬
fly, 飛ぶ
nail, つめ
sweet, 優しい
island, 島
law, 法律
feeling, 感じ
news, ニュース
force, 勢い
father, 父親
structure, 構造
sound, 鳴る
daughter, 娘
list, 挙げる
early, 早い
heat, 暖める
waiting, 待ち時間
song, 歌
balance, バランスをとる
jelly, ゼリー化する
scale, 目盛り
present, 現在の
cushion, クッション
skin, ひふ
dog, 犬
pen, ペン
world, 世界
money, 硬貨
tired, 疲れた
much, ほぼ
brick, ブロック
soup, スープ
give, あたえる
physical, 物理的
head, アタマ
care, 整備
