Eng,Ja
operation, 運転
approval, 賛成
account, 説明
error, 間違い
line, 線
hearing, 聞くこと
paste, 貼りつける
bright, 明々と
waiting, 待ち時間
attraction, 魅力
pull, 引っぱる
art, 芸術
join, 交わる
present, 現在の
little, わずか
fire, 焼く
reason, 推論
dog, 犬
whip, むち打ち
sudden, 急激
cup, コップ
east, 東
card, カード
happy, しあわせな
material, 実質的
complex, 複雑な
pump, 注入する
south, 南
trousers, ズボン
bent, まがった
animal, 動物
secret, 秘密の
meal, 食事
sad, 残念な
to, ～へ
representative, 代表する
bucket, バケツ
arm, 武装
in, 中に
skin, ひふ
deep, 深い
verse, 詩節
after, ～の後に
be, ある
tomorrow, あす
unit, 単一体
rat, ネズミ
powder, 粉
mist, 霧
development, 発展
