Eng,Ja
watch, 時計
for, ～のために
comb, クシ
blow, 吹く
iron, 鉄
good, 良い
sail, 帆
interest, 気晴らし
free, 自由な
prose, 散文
stocking, ストッキング
back, 以前に
thing, モノ
stomach, 胃
blade, 刃物
order, 配列
daughter, 娘
island, 島
yes, 肯定的な返答
door, 扉
force, 勢い
please, 喜ばせる
experience, 経験
some, いくつかの
camera, カメラ
boy, 男の子
suggestion, 提案
servant, 使用人
answer, 答える
send, 送る
rail, 横木
father, 父親
spade, スペード
self, 自分
company, 付添い
fight, ファイト
effect, 結果
pencil, 鉛筆
manager, 管理職
ice, 氷
size, サイズ
have, 持っている
prison, 牢屋
last, 臨終の
heat, 暖める
cough, せき
square, 四角
writing, 作文
clear, 明るい
old, 古い
cotton, 綿
stiff, こわばった
smooth, なめらかな
man, 人間
paint, 色つけ
ink, インク
mobile, モバイル
bone, 骨
at, ～に
near, ほぼ
tired, 疲れた
comparison, 比較
meeting, 集まり
normal, 正常な
waste, 浪費する
opinion, 意見
comfort, 快適
design, 計画
jelly, ゼリー化する
curve, 曲がる
loose, なまけた
guide, 案内する
nose, 鼻
fixed, 固定した
new, 新しい
knee, ひざ
moon, 月
board, 板
war, 戦争
low, 低い
plane, 平ら
slip, すべる
milk, 牛乳
hanging, つりさげ
coat, コート
news, ニュース
bird, 鳥
beautiful, 美しい
view, 視野
drink, 飲む
monkey, さる
current, 流れ
punishment, 処罰
education, 教育
from, ～から
event, できごと
lead, 導く
necessary, 必然的
smash, 打ち付ける
sun, 太陽
same, 同じ
straight, まっすぐな
broken, 壊れた
note, 記録
match, 試合
idea, 着想
night, 夜
nuts, 木の実
burn, 燃す
forward, 前に
married, 結婚している
pain, 痛み
meat, 肉
political, 政治的な
dark, 暗い
scissors, はさみ
oil, オイル
while, 期間
summer, 夏
knife, ナイフ
page, ページ
wax, ロウ
white, 白い
by, ～のそばで
song, 歌
judge, 判断する
among, ～の間に
regular, 普通の
berry, ベリー
tray, お盆
salt, 塩
