Eng,Ja
boy, 男の子
new, 新しい
while, 期間
town, 町
experience, 経験
cotton, 綿
come, 訪れる
woman, 女性
say, 言う
hook, 鉤
middle, 中位
financial, 財務上の
answer, 答える
lift, 持ち上げる
data, データ
cover, おおう
enough, 十分
secretary, 事務官
distribution, 配布
dog, 犬
flower, 花を咲かす
cup, コップ
language, 言語
farm, 農場
place, 場所
screw, ねじる
almost, ほぼ
part, ある程度
ring, 鳴り響く
tin, スズ
wing, つばさ
cold, 冷たい
left, 左の
sudden, 急激
oil, オイル
late, 遅れた
pocket, 懐中
property, 所有物
trade, 交換
tongue, 舌
reaction, 反応
general, 世間一般の
run, 走る
information, 情報
thing, モノ
purpose, 目的
wax, ロウ
trousers, ズボン
hair, 毛
flame, 火炎
smile, ほほ笑む
be, ある
cloth, 生地
attempt, 試みる
how, 方法
broken, 壊れた
journey, 旅行
soup, スープ
plate, 平皿
only, ただひとり
seed, たね
friend, 友達
window, ウィンドウ
direction, 舵取り
awake, 覚めた
crime, 犯罪
number, 数
detail, 詳しく述べる
nation, 国家
leaf, 葉っぱ
between, 中間に
taste, 味覚
neck, 首
comfort, 快適
in, 中に
moon, 月
shade, 影
birth, 生みだす
decision, 判断
drawer, 引き出し
balance, バランスをとる
true, 正確な
round, まるい
boiling, 煮えた
lock, かぎ
brother, 兄
growth, 成長
ice, 氷
space, スペース
wound, 負傷
muscle, 筋肉
meeting, 集まり
nuts, 木の実
among, ～の間に
dry, 乾いた
owner, 持主
society, 世界
secret, 秘密の
branch, 枝
trouble, 故障
other, ほかの
after, ～の後に
fruit, くだもの
chin, アゴ
roll, 転がる
out, 外に
violent, 暴力的
stomach, 胃
vessel, 容器
now, 今
brake, 歯止め
do, する
second, 第2に
stage, 区間
seem, 見える
before, 先に
responsible, 責任がある
color, 色合い
position, 場所
mouth, 口
ornament, 装飾
back, 以前に
bent, まがった
cow, 牛
potato, ジャガイモ
bed, ベッド
ill, 不完全な
poison, 毒
gun, 銃
paint, 色つけ
servant, 使用人
silk, 絹糸
separate, 分かれた
wash, 洗う
island, 島
end, 終える
self, 自分
blow, 吹く
humor, ユーモア
sock, ぶん殴る
statement, 述べる
pen, ペン
religion, 信仰
electric, 電気の
army, 軍団
science, 科学
wire, 針金
front, 正面
far, はるかに
increase, 増やす
church, 教会
tail, 尻尾
music, ミュージック
beautiful, 美しい
exchange, 取り替える
adjustment, 手直し
box, 箱
verse, 詩節
able, 可能な
note, 記録
whip, むち打ち
sort, 分類する
bit, かけら
sweet, 優しい
night, 夜
there, そこに
impulse, 衝動
snow, 雪が降る
paste, 貼りつける
chief, 主要な
sun, 太陽
structure, 構造
cloud, 雲
care, 整備
comparison, 比較
hard, 必死に
fork, フォーク
stone, 石
against, 反抗して
give, あたえる
ray, 光線
umbrella, かさ
tight, 窮屈な
sea, 海
rough, 荒い
animal, 動物
disease, 不快な状態
stem, 茎
disgust, 吐き気を催させる
memory, 記憶
act, 行動する
sticky, 粘っこい
same, 同じ
crush, 壊れる
reading, 読み取り
level, 水平になる
feeling, 感じ
female, 牝
picture, 絵
belief, 印象
then, それから
road, 道筋
look, 見える
minute, 分
copy, コピー
destruction, 撃滅
silver, 銀
letter, 便り
reward, 報いる
mixed, まざった
bee, 蜂
sex, 性別
bridge, 橋
bite, かみつく
knowledge, 知識
jump, 跳躍する
chain, くさり
clear, 明るい
ball, 球
fold, 折りたたむ
development, 発展
print, 印刷
smell, においがする
board, 板
line, 線
every, あらゆる
wrong, 不正確な
list, 挙げる
shoe, くつ
idea, 着想
cheap, 安上がりな
though, だが
take, 取る
fixed, 固定した
attraction, 魅力
brick, ブロック
leg, 脚
wet, ぬれた
heart, こころ
burst, 爆発
sign, 記号
theory, 理論
knot, 結ぶ
sail, 帆
such, こんな
group, 集まり
go, 行く
around, 周りに
spring, 春
touch, タッチ
thought, 思索
even, 均等な
ticket, チケット
free, 自由な
nose, 鼻
father, 父親
danger, リスク
different, 変わった
spade, スペード
rub, こする
and, ～と
near, ほぼ
price, 価格
dirty, 汚れた
present, 現在の
writing, 作文
north, 北
glove, 手袋
hanging, つりさげ
steel, 鋼鉄
insect, 虫
early, 早い
instrument, 器具
high, 高い
transport, 運輸
walk, 歩く
grip, 取っ手
apple, リンゴ
time, 時
keep, 保つ
cat, ネコ
throat, のど
office, オフィス
value, 価値
serious, まじめな
damage, そこなう
great, 偉大な
conscious, 気づいて
debt, 負債
push, 押す
comb, クシ
drop, しずく
start, 開始
any, なんらか
measure, 計測する
across, 横切った
on, うえに
punishment, 処罰
amusement, 楽しみ
credit, 信用
insurance, 保険
water, 水
paper, 紙
south, 南
attention, 注意
street, ストリート
