Eng,Ja
increase, 増やす
meat, 肉
comfort, 快適
over, 上の方に
servant, 使用人
room, 部屋
unit, 単一体
beautiful, 美しい
scale, 目盛り
rain, 雨が降る
cushion, クッション
give, あたえる
seed, たね
cow, 牛
burn, 燃す
invention, 考案
advertisement, アド
woman, 女性
division, 分割
care, 整備
cough, せき
mass, 大きな塊
knot, 結ぶ
screw, ねじる
any, なんらか
even, 均等な
needle, はり
machine, 機械
secretary, 事務官
tight, 窮屈な
ship, 船
control, 制御する
change, 変質
green, 緑色の
request, 要求
fish, 魚
yes, 肯定的な返答
early, 早い
sort, 分類する
dark, 暗い
metal, メタリック
while, 期間
development, 発展
prison, 牢屋
violent, 暴力的
thunder, 雷
international, 国際的な
mother, 母親
bottle, ビン
journey, 旅行
plant, 植物
porter, 運搬人
water, 水
wood, 樹木
cotton, 綿
shade, 影
shelf, 棚
from, ～から
chest, むね
father, 父親
scissors, はさみ
equal, 等しい
line, 線
gun, 銃
tooth, 歯
brake, 歯止め
star, 星
collar, エリ
reaction, 反応
minute, 分
stiff, こわばった
hard, 必死に
smash, 打ち付ける
window, ウィンドウ
hat, 帽子
cord, ひも
hospital, 病院
paper, 紙
space, スペース
language, 言語
observation, 観測
edge, 刃
work, 労働
chief, 主要な
public, パブリック
news, ニュース
person, 個人
enough, 十分
ready, 準備のできた
at, ～に
interest, 気晴らし
up, 上方へ
vessel, 容器
have, 持っている
play, 遊ぶ
second, 第2に
before, 先に
laugh, 笑う
road, 道筋
financial, 財務上の
quite, すっかり
pocket, 懐中
every, あらゆる
cloth, 生地
suggestion, 提案
into, (入った)中に
plate, 平皿
complete, 完全な
regret, 惜しむ
kettle, 湯わかし
expert, 専門家
station, 駅
bit, かけら
connection, 結びつき
in, 中に
argument, 議論
amount, 量
history, 歴史
low, 低い
purpose, 目的
arch, カーブ
though, だが
sea, 海
for, ～のために
detail, 詳しく述べる
wide, 幅広い
egg, 卵
substance, 物質
fly, 飛ぶ
office, オフィス
society, 世界
keep, 保つ
west, 西
let, させる
support, 支える
neck, 首
waste, 浪費する
blue, 青い
pull, 引っぱる
sugar, さとう
normal, 正常な
blade, 刃物
fact, 事実
will, するつもりだ
together, 同時に
also, もまた
waiting, 待ち時間
brain, 頭脳
adjustment, 手直し
hanging, つりさげ
system, システム
offer, 提供する
spring, 春
number, 数
respect, 尊敬
watch, 時計
narrow, せまい
rest, 休む
steel, 鋼鉄
very, とても
wet, ぬれた
oven, 天火
plane, 平ら
cup, コップ
approval, 賛成
poison, 毒
again, さらに
addition, 付け足し
probable, ありそうな
complex, 複雑な
sense, 感覚
good, 良い
move, 動く
hollow, 空っぽな
near, ほぼ
pencil, 鉛筆
smile, ほほ笑む
there, そこに
nail, つめ
insurance, 保険
put, 置く
ant, アリ
baby, ベビー
ray, 光線
healthy, 健康な
hole, 穴
fold, 折りたたむ
island, 島
quick, 素早い
protest, 断言する
science, 科学
bulb, 球状のもの
straight, まっすぐな
statement, 述べる
street, ストリート
balance, バランスをとる
reason, 推論
answer, 答える
dead, 枯れた
food, 食べ物
rod, 棒
sun, 太陽
tired, 疲れた
pump, 注入する
step, 段
son, 息子
bite, かみつく
ring, 鳴り響く
small, 小さい
direction, 舵取り
information, 情報
roof, 屋根
receipt, 受取り
cloud, 雲
question, 問いただす
fight, ファイト
church, 教会
different, 変わった
basket, かご
general, 世間一般の
pain, 痛み
strange, 奇妙な
night, 夜
pot, つぼ
board, 板
little, わずか
credit, 信用
bad, ひどい
writing, 作文
say, 言う
much, ほぼ
world, 世界
value, 価値
teaching, 教え
base, 基礎づける
memory, 記憶
important, 重要な
angle, 角度
bent, まがった
fork, フォーク
point, 点
only, ただひとり
last, 臨終の
trade, 交換
push, 押す
idea, 着想
attraction, 魅力
brush, ブラシ
error, 間違い
middle, 中位
slip, すべる
guide, 案内する
summer, 夏
around, 周りに
surprise, 驚き
umbrella, かさ
grass, 芝生
boot, ブーツ
social, 社会
new, 新しい
experience, 経験
but, しかし
day, 昼間
happy, しあわせな
medical, 医療
political, 政治的な
design, 計画
turn, 回転させる
conscious, 気づいて
walk, 歩く
like, 同じような
stem, 茎
then, それから
winter, 冬
young, 若い
kick, 蹴り
stomach, 胃
private, 秘密の
company, 付添い
feather, 羽
flower, 花を咲かす
with, いっしょに
opinion, 意見
physical, 物理的
sticky, 粘っこい
land, 土地
gold, 黄金
serious, まじめな
